,0,1,2,3,4,5,6,7,8,9
312,164367,184525,175234,175685,161569,164427,167767,110984,149460,112219
313,154692,212403,429104,336325,257601,300084,2774,434651,398908,439299
314,456675,457484,500973,455950,502154,457443,504173,456828,505554,502946
315,422603,410137,185490,425803,405970,260978,437643,167757,292458,196170
316,40966,45178,5526,45340,4625,36539,5512,4612,77772,101387
317,456681,457587,456626,456489,457282,456911,457285,457281,457117,456124
318,459826,460501,460393,458437,459400,459901,457995,459143,458162,457938
319,395410,220749,318845,1853,299163,428984,145434,224977,306803,114852
320,505427,505159,500493,501911,505691,503278,502693,503807,505411,501626
321,2018,299328,330003,268401,420687,213992,245880,218414,284528,153118
322,266480,315989,218948,329980,367562,313829,234357,352458,204533,278734
323,317965,157207,208505,294847,229511,176998,280588,162865,115656,307613
324,136561,136363,136290,136407,136501,136506,136528,136430,136329,136371
325,74396,32166,24073,81861,47776,32019,6993,87429,22444,87619
326,526517,527026,526995,526533,526543,527025,526617,527035,527053,526602
327,77801,79150,77523,73754,31987,21704,78447,32031,23825,70318
328,195494,240847,187303,240776,238156,324150,324151,152108,154230,143054
329,507809,508086,507984,507813,506581,507866,507934,508029,508505,506628
330,155525,190092,181601,162755,152111,156384,138136,2471,141518,160394
331,123348,107775,39737,122299,100976,100838,101099,101101,101823,106412
332,502534,502083,504719,503250,505394,501757,503904,500619,500803,504896
333,367562,315989,413397,407558,266480,257973,278734,313829,169594,431133
334,281808,318185,283826,434077,420114,233783,318184,223989,412862,409361
335,117120,143575,142040,137478,139509,137024,111790,117119,112900,108717
336,507107,507652,508394,507203,507153,507540,503723,507075,505174,502897
337,508811,508846,508843,507267,508859,508899,508824,508896,508898,508891
338,368025,423922,168984,203866,197075,180874,356592,411577,362873,172663
339,504705,502122,502833,503369,504121,503729,500255,499983,500078,505198
340,513835,513793,513833,513831,513749,513764,513777,513775,513737,513834
341,353105,144604,205954,143422,321575,264225,173042,414361,363357,178652
342,74321,22564,24333,78866,74539,78744,74196,79125,34228,32387
343,140664,171983,177024,271260,230083,195695,116686,308654,388124,328177
344,31959,21494,513157,36282,82869,81100,22121,22580,74772,36288
345,359530,390465,355804,312505,373761,240768,376133,370460,207815,246740
346,457558,457528,457681,457302,457512,456641,456687,456813,457680,456462
347,111503,303427,434849,191224,254415,272653,294138,291606,283014,419354
348,136240,136243,504205,505362,503841,504868,506014,136476,505035,501113
349,490461,485294,473334,472621,466090,479759,490095,492137,459364,488406
350,513754,513751,513742,513733,513750,513748,513740,513767,513784,513808
351,22016,32111,22251,31957,22253,36305,75038,74577,32239,75081
352,141209,180572,142865,179105,137806,141486,148240,110489,114227,177209
353,363990,164818,152801,427746,226024,357361,422124,304867,112925,430791
354,177298,152655,330089,316915,313419,253089,439480,396780,421103,148599
355,506859,508386,507335,507452,508113,507876,506500,508509,508112,507892
356,294940,193723,410416,110042,301915,198760,317744,328658,161278,236739
357,157517,425649,164383,165749,207330,217167,235519,354083,174174,403054
358,504671,501132,502582,505591,505581,505117,502371,501148,505118,501603
359,521210,521219,521222,525208,521213,521214,521217,521212,525188,456058
360,240900,353719,193288,265209,416923,218691,320369,382920,320368,237270
361,115359,307316,275542,326268,266195,375879,213344,421834,253951,389691
362,217814,278802,145313,198978,339552,413566,393760,221348,177664,408086
363,69270,94664,122056,120769,106427,101086,122277,91991,105507,105161
364,23802,74704,70605,78749,48231,77793,78859,23855,32020,36283
365,456607,456264,456937,456948,456185,456203,457092,457007,456947,457393
366,455939,457409,456910,457324,456781,457629,457075,456400,457021,457586
367,81792,82447,22112,32141,22431,32762,70778,82279,99568,27406
368,74262,61233,84290,83068,78836,84245,78379,32584,81439,74378
369,41960,11739,48219,77261,42060,84359,40778,22101,21812,44306
370,155525,190092,181601,162755,152111,156384,138136,2471,141518,160394
371,292882,187190,434049,248904,200286,233578,340968,438370,265123,329014
372,508273,507914,508106,506689,507974,457201,507948,508203,506681,508051
373,379932,158739,393888,196416,211500,348206,251797,281842,424431,235697
374,32329,74576,70921,81467,74054,78361,100568,84398,84221,67268
375,504966,502599,502044,503637,503608,502529,502687,505457,456204,500057
376,456437,456024,457556,457699,456306,456976,457156,456033,455956,455955
377,111010,302929,170539,331414,186754,411577,408215,245428,362873,319459
378,48226,67263,4278,77122,31974,77534,32216,81796,67139,32557
379,503988,502495,505838,504153,502139,501244,504595,504747,501428,504154
380,457252,456414,456156,456064,457257,457313,456726,456914,457329,456565
381,142803,392290,191969,274051,435706,265354,397714,279180,199804,311708
382,435831,179254,389182,275136,167561,215908,152388,341344,435830,325254
383,328003,269575,176674,248766,111190,303110,408697,337004,144895,337755
384,108144,107096,100774,39683,39781,103383,122028,107896,100849,91991
385,122271,107769,121984,100004,101041,122327,39670,107901,122011,123282
386,391346,331957,383943,361644,287426,368059,243620,370805,430685,147877
387,500673,502708,501657,501873,501436,505265,457554,500899,503114,500354
388,347712,193790,202713,374868,235359,285742,337004,303110,111190,143926
389,523128,523120,523230,523137,523140,523231,523131,523116,167537,367414
390,108731,300624,242402,436939,280467,116976,308942,314662,150634,389963
391,502928,503706,503571,505399,503454,500209,500623,502061,505622,501136
392,136328,136317,136425,136316,136305,136445,136405,136224,136256,136524
393,501572,504383,503208,500000,456819,456586,501082,136477,500738,501447
394,504619,504281,504280,501276,506046,500004,504894,504520,504267,503864
395,236739,161278,1478,298789,47736,317745,328659,80971,364288,78266
396,501763,503997,505496,501317,502620,500460,505499,457391,501941,509976
397,273443,381361,361754,306337,323808,277289,248570,114387,201892,230063
398,478539,468943,468206,469180,474279,459474,459264,489776,482028,466529
399,523120,523128,523140,523230,523231,523137,523131,523116,523123,523235
400,100026,120899,33668,103140,99508,100458,103428,100457,94631,123293
401,506813,508505,507332,508378,507871,508038,508271,507523,508412,507984
402,427998,197581,156862,213083,262790,110194,302099,307832,115873,181066
403,505572,501449,505070,504519,504363,504465,505300,503092,504516,503865
404,77073,81912,75226,78704,7396,70343,74250,77899,74280,81705
405,465612,490756,483645,489775,460154,462936,459072,459131,459264,482028
406,250590,275349,368066,192918,430682,235406,387991,341190,234089,171399
407,489158,479187,485670,161262,482326,465593,460933,464987,493060,473872
408,508214,525180,508252,457431,508147,525247,525194,506709,508476,525216
409,61889,59324,65192,9088,96085,93411,74165,36956,93070,51825
410,500233,503345,500420,501805,505008,505215,505435,502393,500862,502657
411,120615,120932,49131,45513,107030,120757,105498,103724,77103,121988
412,483730,459112,469034,488973,487315,469662,477285,461607,472302,482652
413,74330,21427,87724,32609,77074,70722,81874,77230,33801,32555
414,254636,431796,152322,112276,304210,271513,360649,208022,179013,180859
415,141146,174823,167738,169349,152173,148246,1961,149057,114226,150946
416,172765,370135,409523,412554,380949,222216,148628,373445,376642,201551
417,120756,101379,108083,33696,49153,120903,49167,100807,100805,108084
418,188877,241244,434546,255631,288454,169811,340508,186288,392417,440779
419,457477,457235,456035,457381,456068,501160,456666,501080,456223,503075
420,138209,275237,355256,384212,298411,1100,227123,398896,420423,173906
421,405465,314969,425476,183876,205473,115569,307525,206388,276953,387360
422,189341,249511,197656,312463,350126,172443,381678,312462,438822,280724
423,500389,503150,500776,505493,505188,502212,504836,504059,456190,502673
424,143959,395663,146967,430428,440767,359840,318803,198745,407372,169658
425,457696,457053,456025,457268,456982,456553,457695,456540,456377,456507
426,256777,143238,271755,310524,356251,324186,200176,176873,219616,310523
427,28603,28712,28891,79913,59827,65602,9491,15252,28080,65389
428,296816,224610,396340,212635,427564,175922,195192,169535,176952,227015
429,523126,523110,523233,523136,523111,523236,523122,523229,523143,523115
430,223670,206155,163683,322036,204361,192628,425457,320523,425056,291780
431,211015,288849,242367,113050,304995,382895,223915,296772,272088,341943
432,511347,511329,511183,511201,511309,511343,511384,511346,511315,511220
433,456446,457542,456920,455932,457023,456002,455981,457024,457475,456971
