,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
121,472157,493314,494746,468197,467674,458795,464071,462237,492819,474333,481790,490794,466279,459134,463807,469409,489788,487047,466930,468045,459845,493313,464141,467358,492399,457783,483671,475500,468854,492820
122,36659,43860,44820,41511,7595,64325,44395,5099,45502,14241,53787,53730,4965,45365,36785,81045,44397,41513,5888,5493,4444,7730,53901,67008,56077,55925,41462,77132,40665,33863
123,306628,114676,427499,181795,313374,248056,112337,304273,244965,244840,353006,330215,267231,373506,264010,292976,237814,391371,320155,197400,353007,215768,168818,277749,344286,284211,252593,441412,407794,191609
124,55997,57867,14051,44401,49339,49337,50269,50464,3488,19941,44369,63949,69419,53251,69584,20137,13458,69631,55834,63823,4940,57791,27727,50409,57541,57884,40128,73653,60172,69783
125,358512,304424,112484,192766,261364,355203,162853,219066,185519,429038,304423,112483,247334,358046,355351,411139,223101,232540,306837,114884,334360,325282,321634,325438,216937,192477,393458,226626,181827,290851
126,20136,100037,100904,57873,20371,58269,100674,73549,60863,97379,41652,49611,44142,101411,23617,43744,13746,13741,23586,14308,69542,69560,16406,13591,16256,27372,3612,60594,49905,3153
127,57646,3700,20026,63404,44967,17093,40766,50778,50489,40633,13778,20243,14344,41901,43744,3649,23623,97379,20320,40120,57741,4764,80771,49611,6955,69577,43655,3947,23586,53371
128,168369,185645,201212,254885,341236,225994,404514,413756,251416,236846,220898,413934,147130,324757,337996,147356,234994,223106,410828,387868,324756,247671,404491,157615,161103,112183,304114,168796,312748,206482
129,58881,108192,54039,8833,119634,85343,59744,58639,25415,108256,25414,54757,85465,53967,62734,54022,54310,25479,54198,54207,61657,108034,89208,92574,95643,95647,108190,51585,59614,27977
130,95540,25295,59160,97580,27995,119538,28005,25242,25353,88680,119290,92988,53466,95515,51083,119509,48391,58958,6087,34971,89473,90888,88957,54058,90895,97772,23283,25233,24861,51059
131,27404,20295,69683,78087,20739,45412,7393,34035,45003,31836,45729,63976,5556,73855,5419,8160,77154,69638,40486,67187,69642,70223,27741,102532,34034,5194,80823,32505,70286,50268
132,355220,427347,284044,315888,367445,152330,370362,226407,165088,175417,362280,216739,255431,211786,110104,302011,200297,206149,251182,216972,337826,312587,136983,228786,82562,201458,158809,240615,58736,96051
133,331323,376537,337823,292636,234375,407154,245851,216134,410496,240179,335314,238774,361952,179514,255938,307743,115784,251997,324431,312574,215958,413456,356660,206741,333886,259809,157769,392813,214682,274468
134,354876,360248,209550,164634,410975,246887,281182,404849,287043,261143,518785,162982,222623,324921,387866,302321,110414,434295,256399,218416,434137,195523,347485,192864,352177,296215,344438,173616,385923,184829
135,34045,81192,69922,43721,8062,20461,77440,70688,77119,45076,81353,44730,74784,45379,41811,53824,67224,45545,36717,5326,64316,5765,67086,5889,5945,21245,5299,8165,56339,101156
136,484416,487795,469189,494132,474847,474959,462047,483073,487188,463978,467095,489299,488998,487796,475312,472371,474063,467637,478530,464243,489784,494668,485722,463399,463221,485935,485721,471963,477198,489719
137,374779,205809,269107,112647,304598,334437,357425,415807,280268,222816,411315,382114,147176,206757,338662,325443,291028,411322,310596,249865,338664,358050,396402,341708,214549,399944,233013,221018,143299,237345
138,234390,370851,274802,158134,232076,433639,403565,329428,157431,260167,254292,235361,149441,388669,311754,419428,390213,377548,305957,365150,114011,276584,322916,317688,322917,150504,438460,346728,335163,236555
139,362282,196533,242314,162351,349421,288201,341070,320002,210271,423314,354889,349419,218346,399034,434302,370364,284045,423313,413755,523492,156789,344283,347651,331328,187938,177451,262718,177604,523488,306550
140,44203,13498,58355,17333,20129,47243,13323,27702,43202,16083,10732,97353,49801,66638,55524,20987,89432,23772,49189,52936,41710,61734,51068,17314,3434,99572,37104,88909,60237,63221
141,484950,463406,460633,465628,486976,464929,484507,480658,488712,459263,468635,489624,487131,469741,487724,458240,459613,466592,482594,470289,482999,459579,480221,490691,486975,479191,483000,463055,460502,466314
142,11257,7308,61502,53260,44707,14083,58261,58258,73352,14538,60373,14079,61539,73713,27655,41312,53696,73341,53162,69366,61509,55765,3676,58525,57983,57760,11251,57714,4841,7332
143,101235,36641,14012,63975,64224,100149,45406,33852,5174,33925,78991,34036,44821,53569,74013,8029,64016,44789,74000,53535,74453,43958,64307,73831,31891,56264,7317,45336,45165,69635
144,27747,36601,41410,81343,53565,8186,64345,101749,5424,21011,34180,5040,73680,45022,5521,21624,44325,64088,73271,74930,101761,5940,8173,5880,69902,103677,8171,77670,8377,45021
145,7492,44140,57917,62793,62202,41736,61136,50631,60264,59329,92706,25408,60291,40351,35094,61769,25628,27709,62271,55995,25645,8832,57737,11187,63515,91123,51373,63566,37125,53974
146,243530,405134,314825,411645,437187,252842,438289,338964,372559,140057,346107,272354,221220,197878,338965,108580,300474,163807,322246,375240,193935,285056,357589,2869,300179,425858,300642,108749,372560,143328
147,108190,95643,89208,51585,95647,54310,61657,92574,25479,108034,54207,54198,59904,59614,27977,54022,62734,58639,85343,59744,108192,8833,108256,119634,54757,53967,54039,85465,25415,25414
