,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
131,27404,20295,69683,78087,20739,45412,7393,34035,45003,31836,45729,63976,5556,73855,5419,8160,77154,69638,40486,67187
132,355220,427347,284044,315888,367445,152330,370362,226407,165088,175417,362280,216739,255431,211786,302011,110104,200297,206149,251182,216972
133,331323,376537,337823,292636,234375,407154,245851,216134,410496,240179,335314,238774,361952,179514,255938,307743,115784,251997,324431,312574
134,354876,360248,209550,164634,410975,246887,281182,404849,287043,261143,518785,162982,222623,324921,387866,110414,302321,434295,256399,218416
135,34045,81192,69922,43721,8062,20461,77440,70688,77119,45076,81353,44730,74784,45379,41811,53824,67224,45545,36717,5326
136,484416,487795,469189,494132,474847,474959,462047,483073,487188,463978,467095,489299,488998,487796,475312,472371,474063,467637,478530,464243
137,374779,205809,269107,304598,112647,334437,357425,415807,280268,222816,411315,382114,147176,206757,338662,325443,291028,411322,310596,249865
138,234390,370851,274802,433639,158134,232076,157431,329428,403565,254292,260167,235361,311754,149441,388669,377548,419428,390213,114011,276584
139,362282,196533,242314,162351,349421,288201,341070,320002,210271,423314,354889,349419,218346,399034,434302,370364,284045,423313,413755,523492
140,44203,13498,58355,17333,20129,47243,13323,27702,43202,16083,10732,97353,49801,66638,55524,20987,89432,23772,49189,52936
141,484950,463406,460633,465628,486976,464929,484507,480658,488712,459263,468635,489624,487131,469741,487724,458240,459613,466592,482594,470289
142,11257,7308,61502,53260,44707,14083,58261,58258,73352,14538,60373,14079,61539,73713,27655,41312,53696,73341,53162,69366
143,101235,36641,14012,63975,64224,100149,45406,33852,5174,33925,78991,34036,44821,53569,74013,8029,64016,44789,74000,53535
144,27747,36601,41410,81343,53565,8186,64345,101749,5424,21011,34180,5040,73680,45022,5521,21624,44325,64088,73271,74930
145,7492,44140,57917,62793,62202,41736,61136,50631,60264,59329,92706,25408,60291,40351,35094,25628,61769,27709,62271,55995
146,243530,405134,314825,411645,437187,252842,438289,338964,372559,140057,346107,272354,221220,197878,338965,300474,108580,163807,322246,375240
147,95643,59614,89208,108034,95647,108190,61657,59904,92574,25479,51585,54198,27977,54310,54207,54022,62734,85343,59744,108192
148,38521,103778,77553,120401,32873,21270,38388,105375,32711,45713,44481,32098,5346,14818,38512,97542,11590,120491,66957,36928
149,470768,463977,470787,463681,474105,484656,461858,483781,461863,489377,465113,486808,464771,478041,485377,472263,494434,494911,494780,472507
150,27571,8259,40985,43653,103675,53707,47666,5377,73911,41797,8345,45055,53634,73798,56295,14790,101744,41791,5589,77390
151,236837,406502,289792,371762,387393,176332,242755,147341,151360,355551,231127,307259,115302,274248,431826,274522,274213,168150,207018,139087
152,358055,354721,215754,195180,186131,358056,423307,266584,362126,334106,295202,344432,138698,401722,428537,190757,326755,187859,334032,319667
153,121637,57164,117785,98134,57149,91353,38139,120208,97136,120041,52884,31421,121510,97032,31645,99819,59946,121924,39225,102046
154,488508,463203,491432,460755,468302,469546,490085,473399,473191,484288,473507,485474,491656,466574,481910,484508,488040,473362,461396,465092
155,473166,494763,478571,466933,458211,492428,489461,471130,468276,493063,467731,480158,491780,482742,482355,485234,461697,490841,486478,477377
156,302669,110755,255221,396415,349904,366619,495381,159333,153881,430868,366620,204104,195597,166921,203119,250364,161069,495527,434775,137486
157,479416,467881,489085,481588,463829,459043,480406,487897,464784,461835,487257,477412,474661,487276,481085,488196,478056,486033,463326,494304
158,34005,36585,64346,32008,76986,74572,45895,36217,87203,21242,102528,41800,36219,101734,50889,32264,6972,6973,63767,5447
159,320845,324595,413457,349262,378019,310034,160751,310033,319679,283726,282828,216280,395458,163392,319538,115617,270150,310032,307573,331018
160,98589,105419,39537,101615,101303,27846,101607,97764,103305,35001,89269,51107,105426,101586,27886,24554,25326,95329,39559,122158
161,466181,464768,471157,460611,465636,491346,470419,464190,476476,494352,493973,460823,477851,470013,465746,476497,458733,463143,467916,468287
